case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2022299N11134-CE01-L096,2022299N11134,2022-10-30T00:00:00Z,96,6,NALGAE,WP
2022299N11134-CE01-L120,2022299N11134,2022-10-29T00:00:00Z,120,6,NALGAE,WP
2022311N21293-CE01-L024,2022311N21293,2022-11-08T18:00:00Z,24,6,NICOLE,NA
2022311N21293-CE01-L048,2022311N21293,2022-11-07T18:00:00Z,48,6,NICOLE,NA
2022311N21293-CE01-L072,2022311N21293,2022-11-06T18:00:00Z,72,6,NICOLE,NA
2022311N21293-CE01-L096,2022311N21293,2022-11-05T18:00:00Z,96,6,NICOLE,NA
2022311N21293-CE01-L120,2022311N21293,2022-11-04T18:00:00Z,120,6,NICOLE,NA
2023036S12163-CE02-L024,2023036S12163,2023-02-10T12:00:00Z,24,6,GABRIELLE,SP
2023036S12163-CE02-L048,2023036S12163,2023-02-09T12:00:00Z,48,6,GABRIELLE,SP
2023036S12163-CE02-L072,2023036S12163,2023-02-08T12:00:00Z,72,6,GABRIELLE,SP
2023036S12163-CE02-L096,2023036S12163,2023-02-07T12:00:00Z,96,6,GABRIELLE,SP
2023036S12163-CE02-L120,2023036S12163,2023-02-06T12:00:00Z,120,6,GABRIELLE,SP
2023036S12117-CE02-L024,2023036S12117,2023-02-20T18:00:00Z,24,6,FREDDY,SI
2023036S12117-CE02-L048,2023036S12117,2023-02-19T18:00:00Z,48,6,FREDDY,SI
2023036S12117-CE02-L072,2023036S12117,2023-02-18T18:00:00Z,72,6,FREDDY,SI
2023036S12117-CE02-L096,2023036S12117,2023-02-17T18:00:00Z,96,6,FREDDY,SI
2023036S12117-CE02-L120,2023036S12117,2023-02-16T18:00:00Z,120,6,FREDDY,SI
2023036S12117-CE03-L024,2023036S12117,2023-02-23T12:00:00Z,24,6,FREDDY,SI
2023036S12117-CE03-L048,2023036S12117,2023-02-22T12:00:00Z,48,6,FREDDY,SI
2023036S12117-CE03-L072,2023036S12117,2023-02-21T12:00:00Z,72,6,FREDDY,SI
2023036S12117-CE03-L096,2023036S12117,2023-02-20T12:00:00Z,96,6,FREDDY,SI
2023036S12117-CE03-L120,2023036S12117,2023-02-19T12:00:00Z,120,6,FREDDY,SI
2023055S14184-CE01-L024,2023055S14184,2023-02-27T12:00:00Z,24,6,JUDY,SP
2023055S14184-CE01-L048,2023055S14184,2023-02-26T12:00:00Z,48,6,JUDY,SP
2023055S14184-CE01-L072,2023055S14184,2023-02-25T12:00:00Z,72,6,JUDY,SP
2023055S14184-CE01-L096,2023055S14184,2023-02-24T12:00:00Z,96,6,JUDY,SP
2023055S14184-CE01-L120,2023055S14184,2023-02-23T12:00:00Z,120,6,JUDY,SP
2023059S15149-CE01-L024,2023059S15149,2023-03-02T12:00:00Z,30,6,KEVIN,SP
2023059S15149-CE01-L048,2023059S15149,2023-03-01T12:00:00Z,54,6,KEVIN,SP
2023059S15149-CE01-L072,2023059S15149,2023-02-28T12:00:00Z,78,6,KEVIN,SP
2023059S15149-CE01-L096,2023059S15149,2023-02-27T12:00:00Z,102,6,KEVIN,SP
2023059S15149-CE01-L120,2023059S15149,2023-02-26T12:00:00Z,126,6,KEVIN,SP
2023036S12117-CE05-L024,2023036S12117,2023-03-07T00:00:00Z,30,6,FREDDY,SI
2023036S12117-CE05-L048,2023036S12117,2023-03-06T00:00:00Z,54,6,FREDDY,SI
2023036S12117-CE05-L072,2023036S12117,2023-03-05T00:00:00Z,78,6,FREDDY,SI
2023036S12117-CE05-L096,2023036S12117,2023-03-04T00:00:00Z,102,6,FREDDY,SI
2023036S12117-CE05-L120,2023036S12117,2023-03-03T00:00:00Z,126,6,FREDDY,SI
2023036S12117-CE06-L024,2023036S12117,2023-03-10T18:00:00Z,30,6,FREDDY,SI
2023036S12117-CE06-L048,2023036S12117,2023-03-09T18:00:00Z,54,6,FREDDY,SI
2023036S12117-CE06-L072,2023036S12117,2023-03-08T18:00:00Z,78,6,FREDDY,SI
2023036S12117-CE06-L096,2023036S12117,2023-03-07T18:00:00Z,102,6,FREDDY,SI
2023036S12117-CE06-L120,2023036S12117,2023-03-06T18:00:00Z,126,6,FREDDY,SI
2023096S07135-CE01-L024,2023096S07135,2023-04-12T18:00:00Z,24,6,ILSA,SI
2023096S07135-CE01-L048,2023096S07135,2023-04-11T18:00:00Z,48,6,ILSA,SI
2023096S07135-CE01-L072,2023096S07135,2023-04-10T18:00:00Z,72,6,ILSA,SI
2023096S07135-CE01-L096,2023096S07135,2023-04-09T18:00:00Z,96,6,ILSA,SI
2023096S07135-CE01-L120,2023096S07135,2023-04-08T18:00:00Z,120,6,ILSA,SI
2023129N08091-CE01-L024,2023129N08091,2023-05-13T06:00:00Z,30,6,MOCHA,NI
2023129N08091-CE01-L048,2023129N08091,2023-05-12T06:00:00Z,54,6,MOCHA,NI
2023129N08091-CE01-L072,2023129N08091,2023-05-11T06:00:00Z,78,6,MOCHA,NI
2023129N08091-CE01-L096,2023129N08091,2023-05-10T06:00:00Z,102,6,MOCHA,NI
2023129N08091-CE01-L120,2023129N08091,2023-05-09T06:00:00Z,126,6,MOCHA,NI
2023138N05151-CE03-L024,2023138N05151,2023-05-23T12:00:00Z,24,6,MAWAR,WP
2023138N05151-CE03-L048,2023138N05151,2023-05-22T12:00:00Z,48,6,MAWAR,WP
2023138N05151-CE03-L072,2023138N05151,2023-05-21T12:00:00Z,72,6,MAWAR,WP
2023138N05151-CE03-L096,2023138N05151,2023-05-20T12:00:00Z,96,6,MAWAR,WP
2023138N05151-CE03-L120,2023138N05151,2023-05-19T12:00:00Z,120,6,MAWAR,WP
2023138N05151-CE06-L024,2023138N05151,2023-05-31T18:00:00Z,24,6,MAWAR,WP
2023138N05151-CE06-L048,2023138N05151,2023-05-30T18:00:00Z,48,6,MAWAR,WP
2023138N05151-CE06-L072,2023138N05151,2023-05-29T18:00:00Z,72,6,MAWAR,WP
